exclusion_id,campaign,scale,T,H,S,mu,arm,eta_star,eta_ci_low,eta_ci_high,fit_status,reason,source_file,source_sha256
G13-G13B:external-transfer,G13/G13B,OTHER,,,,,,,,,OUT_OF_SCOPE_EXTERNAL_TRANSFER,different model family and corpus; not a point on the requested SmolLM/Qwen scale axis,,
G4:T20:mu0,G4,1.7B,20,512,10240,0.0,mu0,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,same scientific cells/curve as the final five-seed G4C combined estimator; excluded to prevent cumulative double counting,g4c-readout.json,16bab85dce3a83f42c8b1c91be8d91eb1ec1372cfba572f2ffd9b491044b04aa
G4:T20:mu0.9,G4,1.7B,20,512,10240,0.9,raw,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,same scientific cells/curve as the final five-seed G4C combined estimator; excluded to prevent cumulative double counting,g4c-readout.json,16bab85dce3a83f42c8b1c91be8d91eb1ec1372cfba572f2ffd9b491044b04aa
G4:T5:mu0,G4,1.7B,5,512,2560,0.0,mu0,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,same scientific cells/curve as the final five-seed G4C combined estimator; excluded to prevent cumulative double counting,g4c-readout.json,16bab85dce3a83f42c8b1c91be8d91eb1ec1372cfba572f2ffd9b491044b04aa
G4:T5:mu0.9,G4,1.7B,5,512,2560,0.9,raw,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,same scientific cells/curve as the final five-seed G4C combined estimator; excluded to prevent cumulative double counting,g4c-readout.json,16bab85dce3a83f42c8b1c91be8d91eb1ec1372cfba572f2ffd9b491044b04aa
G4B:T20:mu0,G4B,1.7B,20,512,10240,0.0,mu0,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,same scientific cells/curve as the final five-seed G4C combined estimator; excluded to prevent cumulative double counting,g4c-readout.json,16bab85dce3a83f42c8b1c91be8d91eb1ec1372cfba572f2ffd9b491044b04aa
G4B:T20:mu0.9,G4B,1.7B,20,512,10240,0.9,raw,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,same scientific cells/curve as the final five-seed G4C combined estimator; excluded to prevent cumulative double counting,g4c-readout.json,16bab85dce3a83f42c8b1c91be8d91eb1ec1372cfba572f2ffd9b491044b04aa
G4B:T5:mu0,G4B,1.7B,5,512,2560,0.0,mu0,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,same scientific cells/curve as the final five-seed G4C combined estimator; excluded to prevent cumulative double counting,g4c-readout.json,16bab85dce3a83f42c8b1c91be8d91eb1ec1372cfba572f2ffd9b491044b04aa
G4B:T5:mu0.9,G4B,1.7B,5,512,2560,0.9,raw,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,same scientific cells/curve as the final five-seed G4C combined estimator; excluded to prevent cumulative double counting,g4c-readout.json,16bab85dce3a83f42c8b1c91be8d91eb1ec1372cfba572f2ffd9b491044b04aa
G5:a,G5,135M,5,512,2560,0.0,snoo-a,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,earlier SNOO estimator is superseded by the final combined G5B fit; excluded to prevent cumulative double counting,g5b-readout.json,4552330266cf1ab6b59c6e658117872732e6990c65f9ac7b73168db41ca1a446
G5:c,G5,135M,5,512,2560,0.0,snoo-c,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,earlier SNOO estimator is superseded by the final combined G5B fit; excluded to prevent cumulative double counting,g5b-readout.json,4552330266cf1ab6b59c6e658117872732e6990c65f9ac7b73168db41ca1a446
G5:b,G5,135M,5,512,2560,0.9,snoo-b,,,,SUPERSEDED_CUMULATIVE_ESTIMATOR,earlier SNOO estimator is superseded by the final combined G5B fit; excluded to prevent cumulative double counting,g5b-readout.json,4552330266cf1ab6b59c6e658117872732e6990c65f9ac7b73168db41ca1a446
TP-pilot:135M:T2:mu0:raw:H512:S1024,TP-pilot,135M,2,512,1024,0.0,raw,0.07889721711967054,0.0638590893696489,0.11767651976105195,EXTRAPOLATED_HIGH,canonical master fit is not an accepted interior optimum; status=EXTRAPOLATED_HIGH,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
TP-pilot:135M:T20:mu0:raw:H512:S10240,TP-pilot,135M,20,512,10240,0.0,raw,0.02419128000346673,0.023778202447117452,0.024508240731905242,EXTRAPOLATED_LOW,canonical master fit is not an accepted interior optimum; status=EXTRAPOLATED_LOW,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
TP-pilot:135M:T20:mu0.9:raw:H512:S10240,TP-pilot,135M,20,512,10240,0.9,raw,0.0011991657300122127,0.0009772504856765843,0.0014081178215742903,EXTRAPOLATED_LOW,canonical master fit is not an accepted interior optimum; status=EXTRAPOLATED_LOW,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
TP-v1:135M:T10:mu0.9:raw:H256:S2560,TP-v1,135M,10,256,2560,0.9,raw,,0.0065393383153343,0.007512544400936862,UNBRACKETED,canonical master fit is not an accepted interior optimum; status=UNBRACKETED,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
TP-v1:135M:T40:mu0.9:raw:H64:S2560,TP-v1,135M,40,64,2560,0.9,raw,,,,UNBRACKETED,canonical master fit is not an accepted interior optimum; status=UNBRACKETED,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
TP-v2:135M:T10:mu0.9:raw:H256:S2560,TP-v2,135M,10,256,2560,0.9,raw,,0.003327774772521911,0.005205265836537803,UNBRACKETED,canonical master fit is not an accepted interior optimum; status=UNBRACKETED,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
TP-v3:135M:T40:mu0:corrected:H512:S20480,TP-v3,135M,40,512,20480,0.0,corrected,,,,UNBRACKETED_HIGH,canonical master fit is not an accepted interior optimum; status=UNBRACKETED_HIGH,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
TP-v3:135M:T40:mu0:raw:H512:S20480,TP-v3,135M,40,512,20480,0.0,raw,,,,UNBRACKETED_HIGH,canonical master fit is not an accepted interior optimum; status=UNBRACKETED_HIGH,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
TP-v3:135M:T40:mu0.9:corrected:H512:S20480,TP-v3,135M,40,512,20480,0.9,corrected,,,,NONCONVEX,canonical master fit is not an accepted interior optimum; status=NONCONVEX,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
TP-v3:135M:T5:mu0:snoo-a:H512:S2560,TP-v3,135M,5,512,2560,0.0,snoo-a,,0.6092403406899597,0.6335551621333161,UNBRACKETED_LOW,canonical master fit is not an accepted interior optimum; status=UNBRACKETED_LOW,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
TP-v3:135M:T5:mu0:snoo-c:H512:S2560,TP-v3,135M,5,512,2560,0.0,snoo-c,,0.5946415702156397,0.604469648482844,UNBRACKETED_LOW,canonical master fit is not an accepted interior optimum; status=UNBRACKETED_LOW,two_param_master_eta.csv,610f8e302d3a3ba7e888e268ad832d1be7e5015c0b93ab000208c57d0cf5d649
