fit_family,fit_name,weighting,slope_stratum,n,q,q_ci_low,q_ci_high,rss_or_chi2,df_resid,aic,bic
global_shared,global equal-point OLS shared q,OLS,shared,112,0.9875756970034051,0.9822638701645807,0.9929162488164678,92.39636975234077,108,304.292179074696,315.16617455987637
global_shared,global fixed-effect inverse-variance WLS shared q,WLS,shared,106,0.9871157316512219,0.9870883983288149,0.9871430657305121,2811548.051473438,103,2810733.417342846,2810741.407660128
q_by_mu,OLS q by mu,OLS,0,112,0.9969810286548508,0.9898145123392498,1.0041994324255876,72.8030377035425,104,285.5992181280574,307.34720909841815
q_by_mu,OLS q by mu,OLS,0.5,112,0.9929863304466501,0.9826885917370388,1.0033919806792229,72.8030377035425,104,285.5992181280574,307.34720909841815
q_by_mu,OLS q by mu,OLS,0.8,112,0.9443274273362586,0.8917794519589813,0.9999717845713878,72.8030377035425,104,285.5992181280574,307.34720909841815
q_by_mu,OLS q by mu,OLS,0.9,112,0.9753357992089927,0.9683153891142712,0.9824071081724631,72.8030377035425,104,285.5992181280574,307.34720909841815
q_by_mu,OLS q by mu,OLS,0.95,112,0.9307707610776262,0.8789771589655268,0.9856162937119063,72.8030377035425,104,285.5992181280574,307.34720909841815
q_by_mu,WLS q by mu,WLS,0,106,0.9981004317808793,0.9980520853427832,0.9981487805609153,1889622.8188525052,99,1888816.184721913,1888834.8287955718
q_by_mu,WLS q by mu,WLS,0.5,106,0.9934964146104396,0.9934106514211094,0.9935821852038828,1889622.8188525052,99,1888816.184721913,1888834.8287955718
q_by_mu,WLS q by mu,WLS,0.8,106,0.9316252129197856,0.9314310405143071,0.9318194258037551,1889622.8188525052,99,1888816.184721913,1888834.8287955718
q_by_mu,WLS q by mu,WLS,0.9,106,0.9812701163582424,0.9812379435644226,0.9813022902069426,1889622.8188525052,99,1888816.184721913,1888834.8287955718
q_by_mu,WLS q by mu,WLS,0.95,106,0.9395223759532287,0.9393198452769481,0.9397249502979945,1889622.8188525052,99,1888816.184721913,1888834.8287955718
q_by_convention,OLS q by convention,OLS,mu0,112,0.9974487822102047,0.9900041293407478,1.0049494175293345,78.65406254178353,105,292.2569973913371,311.28648949040274
q_by_convention,OLS q by convention,OLS,nesterov_raw,112,0.9808522676193153,0.9747267356613687,0.9870162946142759,78.65406254178353,105,292.2569973913371,311.28648949040274
q_by_convention,OLS q by convention,OLS,nesterov_corrected,112,0.973425327240339,0.9410759027302478,1.0068867611676282,78.65406254178353,105,292.2569973913371,311.28648949040274
q_by_convention,OLS q by convention,OLS,heavy_ball,112,0.9019635740497798,0.8294279898090253,0.9808425793539577,78.65406254178353,105,292.2569973913371,311.28648949040274
q_by_convention,WLS q by convention,WLS,mu0,106,1.000303907152342,1.0002555064072138,1.0003523102395042,2223834.919715564,100,2223026.2855849722,2223042.266219537
q_by_convention,WLS q by convention,WLS,nesterov_raw,106,0.982406452770598,0.9823760225553497,0.9824368839284568,2223834.919715564,100,2223026.2855849722,2223042.266219537
q_by_convention,WLS q by convention,WLS,nesterov_corrected,106,0.9817558866003165,0.9815584083487068,0.9819534045822771,2223834.919715564,100,2223026.2855849722,2223042.266219537
q_by_convention,WLS q by convention,WLS,heavy_ball,106,0.8959316792105939,0.8954614857482591,0.8964021195644986,2223834.919715564,100,2223026.2855849722,2223042.266219537
q_by_scale,OLS q by scale,OLS,135M,110,0.9877334146115615,0.9824115785929732,0.9930840796252736,90.77663574888044,106,299.0378501329077,309.83977159607736
q_by_scale,OLS q by scale,OLS,1.7B,110,0.9126224670609785,0.8093342499997942,1.029092451462024,90.77663574888044,106,299.0378501329077,309.83977159607736
q_by_scale,WLS q by scale,WLS,135M,106,0.9871230123544731,0.9870956778220663,0.9871503476438245,2807854.3390178224,102,2807041.7048872304,2807052.358643607
q_by_scale,WLS q by scale,WLS,1.7B,106,0.893215445257678,0.8903406101725595,0.8960995629439407,2807854.3390178224,102,2807041.7048872304,2807052.358643607
convention_stratum_mu0,mu0 WLS,WLS,shared,38,0.9951280113701826,0.9950756839294399,0.9951803415626367,149247.12031621998,35,148958.0856085812,148962.99836706038
convention_stratum_nesterov_raw,nesterov_raw WLS,WLS,shared,41,0.9899509782898253,0.9899167285873666,0.9899852291772748,1012507.8288215969,38,1012199.1744361258,1012204.3151523259
convention_stratum_nesterov_corrected,nesterov_corrected WLS,WLS,shared,24,0.9281224714844616,0.9278651870680591,0.9283798272423389,32050.241505655373,21,31865.71867692881,31869.252838419852
convention_stratum_heavy_ball,heavy_ball WLS,WLS,shared,3,0.8307064071678991,0.8291830606599923,0.8322325523154469,2035.477261761091,1,2019.055053005425,2017.2522775827613
