momentum_point_id,control_point_id,campaign,scale,T,H,S,mu,convention,observed_to_law_ratio,log2_observed_to_law,conservative_marginal_ci_low,conservative_marginal_ci_high,law_required_ratio,note
DISAMBIG:135M:T5:mu0.9:corrected:H2048:S10240,DISAMBIG:135M:T5:mu0:mu0:H2048:S10240,DISAMBIG,135M,5,2048,10240,0.9,nesterov_corrected,0.7474202472383976,-0.42000844875664406,0.7372587303787915,0.7568454597244124,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
DISAMBIG:135M:T5:mu0.9:corrected:H1024:S5120,DISAMBIG:135M:T5:mu0:mu0:H1024:S5120,DISAMBIG,135M,5,1024,5120,0.9,nesterov_corrected,0.8098652950599178,-0.30424613048304006,0.7701608244186277,0.851133038985265,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
DISAMBIG:135M:T5:mu0.9:raw:H2048:S10240,DISAMBIG:135M:T5:mu0:mu0:H2048:S10240,DISAMBIG,135M,5,2048,10240,0.9,nesterov_raw,0.5068272680242203,-0.9804339492858309,0.5000666623553184,0.5167377152011964,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
DISAMBIG:135M:T5:mu0.9:raw:H1024:S5120,DISAMBIG:135M:T5:mu0:mu0:H1024:S5120,DISAMBIG,135M,5,1024,5120,0.9,nesterov_raw,0.5449043130810387,-0.8759251845638579,0.5105162306312284,0.576514910949335,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G12:135M:T2:mu0.9:heavy_ball:H1280:S2560,G12:135M:T2:mu0:mu0:H1280:S2560,G12,135M,2,1280,2560,0.9,heavy_ball,3.306794916392978,1.7254335740208684,2.9609174198859254,3.599833607859453,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G12:135M:T5:mu0.9:heavy_ball:H512:S2560,G12:135M:T5:mu0:mu0:H512:S2560,G12,135M,5,512,2560,0.9,heavy_ball,0.7244168139814965,-0.4651080627265478,0.6783119744638143,0.7639346724832886,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G12:135M:T20:mu0.9:heavy_ball:H128:S2560,G12:135M:T20:mu0:mu0:H128:S2560,G12,135M,20,128,2560,0.9,heavy_ball,0.13139267575593128,-2.928043237378566,0.12909797058489456,0.13285342700215252,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T2:mu0.9:corrected:H5120:S10240,G6:135M:T2:mu0:mu0:H5120:S10240,G6,135M,2,5120,10240,0.9,nesterov_corrected,0.9556631023016957,-0.06542597699509892,0.9325626735426672,0.9901591640552534,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T2:mu0.9:corrected:H1280:S2560,G6:135M:T2:mu0:mu0:H1280:S2560,G6,135M,2,1280,2560,0.9,nesterov_corrected,0.9332157826001773,-0.09971738841558478,0.9202959688179027,0.9438422958622459,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T2:mu0.9:corrected:H2560:S5120,G6:135M:T2:mu0:mu0:H2560:S5120,G6,135M,2,2560,5120,0.9,nesterov_corrected,0.9221744167165589,-0.11688845233001258,0.8799838308599709,0.9676428182846778,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T2:mu0.9:raw:H5120:S10240,G6:135M:T2:mu0:mu0:H5120:S10240,G6,135M,2,5120,10240,0.9,nesterov_raw,1.4902188925372852,0.5755242581934249,1.4542479098812595,1.562817831131685,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T2:mu0.9:raw:H1280:S2560,G6:135M:T2:mu0:mu0:H1280:S2560,G6,135M,2,1280,2560,0.9,nesterov_raw,1.5321989658258304,0.6156036525970612,1.4899864105676799,1.5638385128052839,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T2:mu0.9:raw:H2560:S5120,G6:135M:T2:mu0:mu0:H2560:S5120,G6,135M,2,2560,5120,0.9,nesterov_raw,1.4976125244807468,0.5826644052921733,1.4384046206546715,1.564698167464529,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T5:mu0.9:corrected:H2048:S10240,G6:135M:T5:mu0:mu0:H2048:S10240,G6,135M,5,2048,10240,0.9,nesterov_corrected,0.727876078264333,-0.4582352440396268,0.7094901099947212,0.7469646989806719,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T5:mu0.9:corrected:H512:S2560,G6:135M:T5:mu0:mu0:H512:S2560,G6,135M,5,512,2560,0.9,nesterov_corrected,0.8305647423614835,-0.26783546451625356,0.797929685778354,0.8530186689835172,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T5:mu0.9:corrected:H1024:S5120,G6:135M:T5:mu0:mu0:H1024:S5120,G6,135M,5,1024,5120,0.9,nesterov_corrected,0.7932253140132417,-0.33419737619777107,0.779391840380152,0.8169586052025979,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T5:mu0.9:raw:H2048:S10240,G6:135M:T5:mu0:mu0:H2048:S10240,G6,135M,5,2048,10240,0.9,nesterov_raw,0.49870821182089303,-1.003732136007576,0.48595894018675473,0.513541916714743,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T5:mu0.9:raw:H512:S2560,G6:135M:T5:mu0:mu0:H512:S2560,G6,135M,5,512,2560,0.9,nesterov_raw,0.5451783399943566,-0.8751998500653665,0.5256925281242916,0.558667009708698,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T5:mu0.9:raw:H1024:S5120,G6:135M:T5:mu0:mu0:H1024:S5120,G6,135M,5,1024,5120,0.9,nesterov_raw,0.5219261890420693,-0.9380823000314854,0.5073228091573642,0.5387686556040568,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T10:mu0.9:corrected:H1024:S10240,G6:135M:T10:mu0:mu0:H1024:S10240,G6,135M,10,1024,10240,0.9,nesterov_corrected,0.6286444104220673,-0.669683900331834,0.6122951265058466,0.6428816751008346,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T10:mu0.9:corrected:H256:S2560,G6:135M:T10:mu0:mu0:H256:S2560,G6,135M,10,256,2560,0.9,nesterov_corrected,0.7605313971287864,-0.3949202867180049,0.7045900340630697,0.7966671982578519,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T10:mu0.9:corrected:H512:S5120,G6:135M:T10:mu0:mu0:H512:S5120,G6,135M,10,512,5120,0.9,nesterov_corrected,0.7039414678751119,-0.5064726198840718,0.6868164993184666,0.7219599888240743,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
G6:135M:T10:mu0.9:raw:H1024:S10240,G6:135M:T10:mu0:mu0:H1024:S10240,G6,135M,10,1024,10240,0.9,nesterov_raw,0.2095010889169909,-2.2549703522941913,0.20390486183023362,0.21371310108395541,1.0,"eta0(scale) and q**T cancel; CI is conservative marginal endpoint combination, not a paired-bootstrap ratio CI"
