group_kind,group_value,n,n_noise_eligible,mean_residual_bits,sd_residual_bits,median_residual_bits,rmse_residual_bits,max_abs_residual_bits,primary_ci_coverage_fraction
all,all,112,106,-8.885749279232057e-15,1.316256423579021,0.17531388842305545,1.310367103552225,3.2612979372767668,0.018867924528301886
campaign,DISAMBIG,6,6,0.27160467851755515,0.42698904061026316,0.33957967441260867,0.47508118821279927,0.8116127949731028,0.0
campaign,G12,6,6,0.25776351600247494,1.942433084885514,0.3220834691770512,1.7918279133974253,3.0390692401736144,0.0
campaign,G4C,4,4,0.23423417696488524,1.6978940289385664,0.5767382584645964,1.4889589483217276,2.1284343661549316,0.0
campaign,G5B,3,3,-1.026244008836387,0.6436377935106198,-0.6594644166001562,1.1529772353185141,1.7694321233464814,0.0
campaign,G6,36,36,-0.022135421634844093,1.3401234137595666,0.19306018582722367,1.3215648963739615,3.1033360852942495,0.027777777777777776
campaign,G8,15,15,0.04736966230453386,1.3877487396534434,0.1892982974666905,1.3415292312715064,3.173756780709653,0.0
campaign,G9A,2,2,-0.4684683539297845,1.222859041449796,-0.4684683539297845,0.9834402453944209,1.3331602745742166,0.0
campaign,G9B,2,0,-8.965050923848139e-15,0.5826548814887809,-8.965050923848139e-15,0.4119992177921612,0.41199921779217014,
campaign,TP-pilot,6,6,-0.0659424042140621,1.2737408821572325,-0.10045447730777411,1.1646293815655557,1.9693631595603651,0.0
campaign,TP-v1,8,7,0.29995691823976534,1.159464110375977,-0.02708336660833781,1.1252939829856057,2.454565752611627,0.14285714285714285
campaign,TP-v2,7,5,-0.19922389713574065,1.7070592224956347,-0.03231814070974419,1.592937011712017,3.2612979372767668,0.0
campaign,TP-v3,17,16,-0.0365047374711267,1.3838126774182626,0.2212535343421182,1.3429917118687626,2.9937212606934596,0.0
scale,1.7B,6,6,-4.6629367034256575e-15,1.469850634021856,0.4401568999798442,1.3417839140284014,2.1284343661549316,0.0
scale,135M,104,100,-9.129449333263787e-15,1.3262442292086485,0.1675483578999018,1.3198526535529957,3.2612979372767668,0.02
scale,7B,2,0,-8.965050923848139e-15,0.5826548814887809,-8.965050923848139e-15,0.4119992177921612,0.41199921779217014,
convention,heavy_ball,3,3,-0.02018943834489943,2.965543017823233,0.08952943781377763,2.4214399036786842,3.0390692401736144,0.0
convention,mu0,42,38,0.5813767143769271,0.6871533188669475,0.5233293364707129,0.8938323076672788,2.454565752611627,0.05263157894736842
convention,nesterov_corrected,25,24,0.20290182427683734,0.6633927633418198,0.28755500260875877,0.6809225436207796,1.4079059771514622,0.0
convention,nesterov_raw,42,41,-0.7007095070409087,1.6301457084651567,-0.5493024637569992,1.7564447073613114,3.2612979372767668,0.0
mu,0.0,42,38,0.5813767143769271,0.6871533188669475,0.5233293364707129,0.8938323076672788,2.454565752611627,0.05263157894736842
mu,0.5,3,3,0.06075231320312261,1.2429212995394836,-0.3611265964589464,1.016657799585883,1.4597014464609268,0.0
mu,0.8,7,7,-0.2564462028402795,1.1006558681932446,-0.2514329513180546,1.0507828799646572,2.1180955441083826,0.0
mu,0.9,53,51,-0.4350845661737696,1.5161228628152184,-0.29942148706128796,1.5635078398120683,3.2612979372767668,0.0
mu,0.95,7,7,0.03636092623577836,1.749050340441069,0.17487907395640542,1.6197141449333048,3.173756780709653,0.0
