campaign,arm,H,S,T,mu,eta0,eta_mu,eta0_status,eta_mu_status,telemetry_id,source,D,log2_D,D_ci_low,D_ci_high,log2_D_ci_low,log2_D_ci_high,bootstrap_invalid,status,rho_telemetry,pred_average_rms,pred_average_projection,pred_final_rms,pred_final_projection
pilot,raw,512,1024,2,0.9,0.07889721711967054,0.032448201499834774,EXTRAPOLATED_HIGH,INTERIOR,pilot:raw:S1024,pilot bank-result.json,4.11271812675188,2.0400921972765573,3.0753150220311847,4.720468417806988,1.6207342014905253,2.23893002706946,0.0,EXTRAPOLATED,0.554608020370581,4.604041268884572,4.706732337303917,4.091636763507145,4.256709378444985
pilot,raw,512,2560,5,0.5,0.0443,0.022570738832517506,FROZEN_V2_REFERENCE,INTERIOR,v2:raw:H512,pilot bank-result.json; independent v2 eta0 reference,1.0189949811520318,0.02714694582668471,0.9958576090607254,1.0429008958621975,-0.005988619047365428,0.06060206884397678,0.0,VALID_WITH_INDEPENDENT_V2_REFERENCE,0.6987755678897946,1.1748970395229186,1.1859604382512183,1.116595278681437,1.1334618640125649
pilot,raw,512,2560,5,0.8,0.0443,0.013501369940349998,FROZEN_V2_REFERENCE,INTERIOR,v2:raw:H512,pilot bank-result.json; independent v2 eta0 reference,1.5238566524097068,0.6077271964110342,1.4831236913510617,1.5728261842113151,0.5686389224434684,0.6533592447955618,0.0,VALID_WITH_INDEPENDENT_V2_REFERENCE,0.6987755678897946,1.9905375163975423,2.1014556990286346,1.6682586106670672,1.8415506025529678
pilot,raw,512,2560,5,0.95,0.0443,0.010211709677104287,FROZEN_V2_REFERENCE,INTERIOR,v2:raw:H512,pilot bank-result.json; independent v2 eta0 reference,4.610252675893579,2.2048458231641255,4.497474470225655,4.75006232846762,2.1691150920863453,2.2479464440501506,0.0,VALID_WITH_INDEPENDENT_V2_REFERENCE,0.6987755678897946,6.349247659687258,7.008283873276846,4.809816580747849,5.777523594786651
pilot,raw,512,5120,10,0.9,0.030915581780415195,0.005208472183426174,INTERIOR,INTERIOR,pilot:raw:S5120,pilot bank-result.json,1.6847401483240747,0.7525260895473666,1.6271511121080253,1.7476896988040895,0.7023482390653975,0.8054490579872917,0.0,VALID,0.7133835229633176,2.7497784744850806,3.2587327757210685,2.1693009237022114,2.8699706070479776
pilot,raw,512,10240,20,0.9,0.02419128000346673,0.0011991657300122127,EXTRAPOLATED_LOW,EXTRAPOLATED_LOW,pilot:raw:S10240,pilot bank-result.json,0.49570164532028343,-1.0124560475145186,0.3987436292823675,0.5921885073970308,-1.3264666257306255,-0.7558716024843521,0.0,EXTRAPOLATED,0.6974361030784518,2.386348191719504,3.111777265009456,2.042228130076045,2.926424996981071
v1,raw,16,2560,160,0.5,0.02324899146017926,0.01166595025460419,INTERIOR,INTERIOR,v1:raw:H16,sealed g1-readout.json,1.0035661352954224,0.0051356938492998225,0.9683635585924655,1.0429799849943862,-0.04637930595442515,0.060711472501586,,CONSERVATIVE_CURVE_CI_ENVELOPE,,,,,
v1,raw,16,2560,160,0.9,0.02324899146017926,0.0023866932746286255,INTERIOR,INTERIOR,v1:raw:H16,sealed g1-readout.json,1.0265792727897638,0.037845037134628064,1.0133159957878815,1.0415734363640676,0.01908413906136492,0.05876456049549753,0.0,VALID,,,,,
v1,raw,256,2560,10,0.5,0.027033408102849998,0.01465196327222498,INTERIOR,INTERIOR,v1:raw:H256,sealed g1-readout.json,1.0839893524694206,0.1163505858292319,0.9153521503394936,1.1367252188271564,-0.12760121727281157,0.18488355295875078,,CONSERVATIVE_CURVE_CI_ENVELOPE,,,,,
v1,raw,512,2560,5,0.9,0.04440765882962343,0.011153409369304366,INTERIOR,INTERIOR,v1:raw:H512,sealed g1-readout.json,2.5115958965763263,1.3286043603666495,2.4549695734409913,2.5684799546885593,1.295705144084647,1.3609148144346264,0.0,VALID,,,,,
v2,raw,16,2560,160,0.9,0.02306165614323191,0.002390097905974249,INTERIOR,INTERIOR,v2:raw:H16,sealed g1v2-readout.json,1.0363947372772233,0.051573594768691534,1.0281364832939057,1.0469377424803414,0.040031792451431625,0.06617565307540034,0.0,VALID,0.6121689592650528,2.290215556980537,3.3457447351234846,2.2511526650966274,3.328628467960382
v2,raw,64,2560,40,0.9,0.019635295360083772,0.0019565651798951022,INTERIOR,INTERIOR,v2:raw:H64,sealed g1v2-readout.json,0.9964531442050868,-0.005126127467047117,0.9318946201436111,1.1617882474614394,-0.10176127261706568,0.21634714088018386,4.0,NOT_EVALUABLE,0.6468908664989735,2.325703008166597,3.2476972705975173,2.1593092431959904,3.1704263511407826
v2,raw,512,2560,5,0.9,0.04429579005615506,0.010814101576197574,INTERIOR,INTERIOR,v2:raw:H512,sealed g1v2-readout.json,2.4413384573315486,1.2876723184148,2.2920276087029388,2.6090233259546047,1.1966244222357085,1.3835098426178403,0.0,VALID,0.6987755678897946,3.431799991677598,3.725662675349094,2.6951596923225565,3.138120915191723
v3,corrected,512,1024,2,0.9,0.07766526318797157,0.0074190960273494665,INTERIOR,INTERIOR,v3:corrected:S1024,fresh v3 raw results.jsonl,0.9552656777062855,-0.06602606477146274,0.9335637285095407,0.9725842426846993,-0.09917958538018427,-0.040104876932790745,0.0,VALID,0.5655677426902791,1.0502041434838207,1.0694322217429022,1.10571565066196,1.149225501602785
v3,corrected,512,2560,5,0.9,0.04368465066903625,0.0037635069323807826,INTERIOR,INTERIOR,v3:corrected:S2560,fresh v3 raw results.jsonl,0.8615170030530571,-0.21504882486980575,0.8449122259795551,0.8834308425285593,-0.24312662061839685,-0.17881089394889482,0.0,VALID,0.6973407330178273,1.1276240975280696,1.2044878823191352,1.2642018315552925,1.4727757004442892
