campaign,arm,H,S,T,mu,coordinate,eta_star,eta_ci_low,eta_ci_high,fit_status,interior,bootstrap_invalid,n_seeds,source
pilot,raw,512,1024,2,0.0,"grid1_s_variation, S=1024",0.07889721711967054,0.0638590893696489,0.11767651976105195,EXTRAPOLATED_HIGH,False,7515,2,pilot bank-result.json
pilot,raw,512,1024,2,0.9,"grid1_s_variation, S=1024",0.032448201499834774,0.030144481455934152,0.03618923689615126,INTERIOR,True,0,2,pilot bank-result.json
pilot,raw,512,2560,5,0.5,"grid2_mu_sweep, S=2560",0.022570738832517506,0.022337473558777875,0.02279147899458787,INTERIOR,True,0,2,pilot bank-result.json
pilot,raw,512,2560,5,0.8,"grid2_mu_sweep, S=2560",0.013501369940349998,0.01329805016278891,0.013762949215939778,INTERIOR,True,0,2,pilot bank-result.json
pilot,raw,512,2560,5,0.95,"grid2_mu_sweep, S=2560",0.010211709677104287,0.010083245372657954,0.010390570224139091,INTERIOR,True,0,2,pilot bank-result.json
pilot,raw,512,5120,10,0.0,"grid1_s_variation, S=5120",0.030915581780415195,0.030004269801964727,0.03180867417956082,INTERIOR,True,0,2,pilot bank-result.json
pilot,raw,512,5120,10,0.9,"grid1_s_variation, S=5120",0.005208472183426174,0.005175751956595422,0.005243815325303236,INTERIOR,True,0,2,pilot bank-result.json
pilot,raw,512,10240,20,0.0,"grid1_s_variation, S=10240",0.02419128000346673,0.023778202447117452,0.024508240731905242,EXTRAPOLATED_LOW,False,10000,2,pilot bank-result.json
pilot,raw,512,10240,20,0.9,"grid1_s_variation, S=10240",0.0011991657300122127,0.0009772504856765843,0.0014081178215742903,EXTRAPOLATED_LOW,False,10000,2,pilot bank-result.json
v1,raw,16,2560,160,0.0,H=16,0.02324899146017926,0.022641204282718284,0.023723650934195394,INTERIOR,True,0,5,sealed g1-readout.json
v1,raw,16,2560,160,0.5,H=16,0.01166595025460419,0.01148655952072146,0.011807161451522174,INTERIOR,True,0,5,sealed g1-readout.json
