point_id,campaign,source_family,scale,parameters,T,H,S,mu,arm,convention,M,law_factor_1_minus_mu_times_M,eta_star,eta_ci_low,eta_ci_high,se_log_eta,fit_status,n_seeds,bootstrap_replicates,bootstrap_invalid,noise_eligible,exploratory,dependence_group,source_file,source_sha256,ci_method,note,eta0_hat_primary,q_hat_primary,eta_pred_primary,normalized_rate,normalized_ci_low,normalized_ci_high,fitted_curve_q_to_T,residual_log,residual_bits,residual_ci_low_bits,residual_ci_high_bits,ci_covers_primary_prediction,standardized_residual_primary
DISAMBIG:135M:T5:mu0:mu0:H2048:S10240,DISAMBIG,fixed_T5_disambiguation,135M,135000000,5,2048,10240,0.0,mu0,mu0,1.0,1.0,0.051691,0.0514319,0.0519336,0.0024764171937453625,INTERIOR,3,1000,0,True,True,disambig:H2048:S10240:mu0,disambiguation_source.md,4be85f66125472fca267f284912442d5bf4ce6e25dbaae9dbca8f381e4af4835,"source-reported paired training-seed bootstrap, equal-tailed 95%",Exploratory fixed-T=5 outer-horizon disambiguation lane.,0.031350405899186334,0.9875756970034051,0.029450667182081548,1.648814377913416,1.6405497321275468,1.6565527147241141,0.9394030583459176,0.5625671205419831,0.8116127949731028,0.8043631332261649,0.8183679179142183,False,227.16976847150298
DISAMBIG:135M:T5:mu0:mu0:H1024:S5120,DISAMBIG,fixed_T5_disambiguation,135M,135000000,5,1024,5120,0.0,mu0,mu0,1.0,1.0,0.0443859,0.0431009,0.0458699,0.015884284216828783,INTERIOR,3,1000,0,True,True,disambig:H1024:S5120:mu0,disambiguation_source.md,4be85f66125472fca267f284912442d5bf4ce6e25dbaae9dbca8f381e4af4835,"source-reported paired training-seed bootstrap, equal-tailed 95%",Exploratory fixed-T=5 outer-horizon disambiguation lane.,0.031350405899186334,0.9875756970034051,0.029450667182081548,1.4157998509726468,1.3748115459365913,1.4631357612244025,0.9394030583459176,0.4102052868547612,0.5918011330917987,0.5494176773163539,0.6392474446683112,False,25.82460004210732
DISAMBIG:135M:T5:mu0.9:corrected:H2048:S10240,DISAMBIG,fixed_T5_disambiguation,135M,135000000,5,2048,10240,0.9,corrected,nesterov_corrected,1.0,0.09999999999999998,0.00386349,0.00382885,0.0038926,0.00421253093118766,INTERIOR,3,1000,0,True,True,disambig:H2048:S10240:corrected,disambiguation_source.md,4be85f66125472fca267f284912442d5bf4ce6e25dbaae9dbca8f381e4af4835,"source-reported paired training-seed bootstrap, equal-tailed 95%",Exploratory fixed-T=5 outer-horizon disambiguation lane.,0.031350405899186334,0.9875756970034051,0.002945066718208154,1.23235724999027,1.2213079512630407,1.241642616212835,0.9394030583459176,0.27143944847495893,0.39160434621645857,0.378610824341827,0.4024337847186373,False,64.43619118980111
DISAMBIG:135M:T5:mu0.9:corrected:H1024:S5120,DISAMBIG,fixed_T5_disambiguation,135M,135000000,5,1024,5120,0.9,corrected,nesterov_corrected,1.0,0.09999999999999998,0.00359466,0.00353272,0.00366846,0.00961850403735273,INTERIOR,3,1000,0,True,True,disambig:H1024:S5120:corrected,disambiguation_source.md,4be85f66125472fca267f284912442d5bf4ce6e25dbaae9dbca8f381e4af4835,"source-reported paired training-seed bootstrap, equal-tailed 95%",Exploratory fixed-T=5 outer-horizon disambiguation lane.,0.031350405899186334,0.9875756970034051,0.002945066718208154,1.1466071640537503,1.1268498441009622,1.1701475291250414,0.9394030583459176,0.19931793931416886,0.28755500260875877,0.262479089568146,0.3168742368819834,False,20.722342948563806
DISAMBIG:135M:T5:mu0.9:raw:H2048:S10240,DISAMBIG,fixed_T5_disambiguation,135M,135000000,5,2048,10240,0.9,raw,nesterov_raw,4.68559,0.46855899999999995,0.0122755,0.0121686,0.0124528,0.005889555624258047,INTERIOR,3,1000,0,True,True,disambig:H2048:S10240:raw,disambiguation_source.md,4be85f66125472fca267f284912442d5bf4ce6e25dbaae9dbca8f381e4af4835,"source-reported paired training-seed bootstrap, equal-tailed 95%",Exploratory fixed-T=5 outer-horizon disambiguation lane.,0.031350405899186334,0.9875756970034051,0.013799375164168947,0.8356640866369108,0.8283867870677295,0.8477339202535232,0.9394030583459176,-0.11701790713074312,-0.16882115431272837,-0.1814397480080761,-0.14813277588949633,False,-19.868715841440885
DISAMBIG:135M:T5:mu0.9:raw:H1024:S5120,DISAMBIG,fixed_T5_disambiguation,135M,135000000,5,1024,5120,0.9,raw,nesterov_raw,4.68559,0.46855899999999995,0.0113326,0.0109724,0.0116429,0.01513127888797528,INTERIOR,3,1000,0,True,True,disambig:H1024:S5120:raw,disambiguation_source.md,4be85f66125472fca267f284912442d5bf4ce6e25dbaae9dbca8f381e4af4835,"source-reported paired training-seed bootstrap, equal-tailed 95%",Exploratory fixed-T=5 outer-horizon disambiguation lane.,0.031350405899186334,0.9875756970034051,0.013799375164168947,0.7714754452544871,0.746954553722035,0.7925993559777516,0.9394030583459176,-0.19693978520712685,-0.28412405147205955,-0.3307238213805099,-0.24515249542775794,False,-13.015409118103923
G12:135M:T2:mu0:mu0:H1280:S2560,G12,heavy_ball_scan,135M,135000000,2,1280,2560,0.0,mu0,mu0,1.0,1.0,0.06849261837524628,0.06608785115149565,0.07220853557191793,0.022595651207680985,INTERIOR,3,10000,0,True,False,G12:T2:mu0,g12-readout.json,0162dbdd2a78492c0b167e2dd516396ab7ea0d1bcb34ac0293abf6abdfc67ae5,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",Heavy-ball terminal multiplier uses geometric prefix through T-1.,0.031350405899186334,0.9875756970034051,0.03057623136753704,2.1847442293250796,2.1080381339882712,2.303272748816054,0.9753057573117614,0.806503024081457,1.1635379133042703,1.111974487038821,1.2397587839857054,False,35.692842692106204
G12:135M:T2:mu0.9:heavy_ball:H1280:S2560,G12,heavy_ball_scan,135M,135000000,2,1280,2560,0.9,heavy_ball,heavy_ball,1.9,0.18999999999999995,0.04303329802820464,0.040622667059475405,0.04520200085280974,0.027249260849540678,INTERIOR,3,10000,0,True,False,G12:T2:heavy_ball,g12-readout.json,0162dbdd2a78492c0b167e2dd516396ab7ea0d1bcb34ac0293abf6abdfc67ae5,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",Heavy-ball terminal multiplier uses geometric prefix through T-1.,0.031350405899186334,0.9875756970034051,0.005809483959832037,7.224501111151069,6.819800404717992,7.588586521380308,0.9753057573117614,2.0024824411574915,2.8889714873251386,2.8058030382355805,2.959904710631601,False,73.48758750611196
G12:135M:T5:mu0:mu0:H512:S2560,G12,heavy_ball_scan,135M,135000000,5,512,2560,0.0,mu0,mu0,1.0,1.0,0.043257126064937514,0.04226234348760973,0.04469213749224389,0.014260753481564296,INTERIOR,3,10000,0,True,False,G12:T5:mu0,g12-readout.json,0162dbdd2a78492c0b167e2dd516396ab7ea0d1bcb34ac0293abf6abdfc67ae5,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",Heavy-ball terminal multiplier uses geometric prefix through T-1.,0.031350405899186334,0.9875756970034051,0.029450667182081548,1.3797947689749115,1.3480636781390638,1.4255680655606384,0.9394030583459176,0.38444541973234125,0.5546375005403248,0.5210724507530606,0.6017207286373939,False,26.95828240978544
G12:135M:T5:mu0.9:heavy_ball:H512:S2560,G12,heavy_ball_scan,135M,135000000,5,512,2560,0.9,heavy_ball,heavy_ball,4.0951,0.40950999999999993,0.01283248294001425,0.012414382476510175,0.0132213045294692,0.016065047857515155,INTERIOR,3,10000,0,True,False,G12:T5:heavy_ball,g12-readout.json,0162dbdd2a78492c0b167e2dd516396ab7ea0d1bcb34ac0293abf6abdfc67ae5,"recomputed paired 3-seed strict-interior bootstrap, equal-tailed 95%",Heavy-ball terminal multiplier uses geometric prefix through T-1.,0.031350405899186334,0.9875756970034051,0.012060342717734212,0.9995465304891404,0.966979889282997,1.0298325844457832,0.9394030583459176,0.062057077397736915,0.08952943781377763,0.04174159515428477,0.13259362800885371,False,3.8628629026278873
