campaign,scale,T,H,S,convention,momentum_mu,momentum_rung,control_rung,training_seed,momentum_eta,control_eta,momentum_cell_id,control_cell_id,momentum_node,control_node,momentum_archive_member,control_archive_member,momentum_member_listed,control_member_listed,status,reason
G6,135M,20,128,2560,nesterov_corrected,0.9,e2,e2,601,0.0014766463953164444,0.0238813104365276,v6-t20-s02560-corrected-e2-seed601,v6-t20-s02560-mu0-e2-seed601,h200-n1,h200-n2,data/yeto-results-v6/v6-t20-s02560-corrected-e2-seed601/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s02560-mu0-e2-seed601/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: control
G6,135M,20,128,2560,nesterov_corrected,0.9,e2,e2,607,0.0014766463953164444,0.0238813104365276,v6-t20-s02560-corrected-e2-seed607,v6-t20-s02560-mu0-e2-seed607,h200-n1,h200-n1,data/yeto-results-v6/v6-t20-s02560-corrected-e2-seed607/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s02560-mu0-e2-seed607/attempt-1/work/m4/state.ckpt,false,false,MISSING_ARCHIVE_MEMBER,"n1 metadata but archive member absent: momentum,control"
G6,135M,20,128,2560,nesterov_corrected,0.9,e2,e2,613,0.0014766463953164444,0.0238813104365276,v6-t20-s02560-corrected-e2-seed613,v6-t20-s02560-mu0-e2-seed613,h200-n1,h200-n2,data/yeto-results-v6/v6-t20-s02560-corrected-e2-seed613/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s02560-mu0-e2-seed613/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: control
G6,135M,20,128,2560,nesterov_raw,0.9,e2,e2,601,0.0026815427395244745,0.0238813104365276,v6-t20-s02560-raw-e2-seed601,v6-t20-s02560-mu0-e2-seed601,h200-n2,h200-n2,data/yeto-results-v6/v6-t20-s02560-raw-e2-seed601/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s02560-mu0-e2-seed601/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,"n2-resident weights not present: momentum,control"
G6,135M,20,128,2560,nesterov_raw,0.9,e2,e2,607,0.0026815427395244745,0.0238813104365276,v6-t20-s02560-raw-e2-seed607,v6-t20-s02560-mu0-e2-seed607,h200-n2,h200-n1,data/yeto-results-v6/v6-t20-s02560-raw-e2-seed607/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s02560-mu0-e2-seed607/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: momentum
G6,135M,20,128,2560,nesterov_raw,0.9,e2,e2,613,0.0026815427395244745,0.0238813104365276,v6-t20-s02560-raw-e2-seed613,v6-t20-s02560-mu0-e2-seed613,h200-n1,h200-n2,data/yeto-results-v6/v6-t20-s02560-raw-e2-seed613/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s02560-mu0-e2-seed613/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: control
G6,135M,20,256,5120,nesterov_corrected,0.9,e2,e2,601,0.0014079272117605325,0.024519758981672045,v6-t20-s05120-corrected-e2-seed601,v6-t20-s05120-mu0-e2-seed601,h200-n2,h200-n2,data/yeto-results-v6/v6-t20-s05120-corrected-e2-seed601/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s05120-mu0-e2-seed601/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,"n2-resident weights not present: momentum,control"
G6,135M,20,256,5120,nesterov_corrected,0.9,e2,e2,607,0.0014079272117605325,0.024519758981672045,v6-t20-s05120-corrected-e2-seed607,v6-t20-s05120-mu0-e2-seed607,h200-n2,h200-n1,data/yeto-results-v6/v6-t20-s05120-corrected-e2-seed607/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s05120-mu0-e2-seed607/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: momentum
G6,135M,20,256,5120,nesterov_corrected,0.9,e2,e2,613,0.0014079272117605325,0.024519758981672045,v6-t20-s05120-corrected-e2-seed613,v6-t20-s05120-mu0-e2-seed613,h200-n1,h200-n2,data/yeto-results-v6/v6-t20-s05120-corrected-e2-seed613/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s05120-mu0-e2-seed613/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: control
G6,135M,20,256,5120,nesterov_raw,0.9,e1,e2,601,0.001946828827182391,0.024519758981672045,v6-t20-s05120-raw-e1-seed601,v6-t20-s05120-mu0-e2-seed601,h200-n1,h200-n2,data/yeto-results-v6/v6-t20-s05120-raw-e1-seed601/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s05120-mu0-e2-seed601/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: control
G6,135M,20,256,5120,nesterov_raw,0.9,e1,e2,607,0.001946828827182391,0.024519758981672045,v6-t20-s05120-raw-e1-seed607,v6-t20-s05120-mu0-e2-seed607,h200-n2,h200-n1,data/yeto-results-v6/v6-t20-s05120-raw-e1-seed607/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s05120-mu0-e2-seed607/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: momentum
G6,135M,20,256,5120,nesterov_raw,0.9,e1,e2,613,0.001946828827182391,0.024519758981672045,v6-t20-s05120-raw-e1-seed613,v6-t20-s05120-mu0-e2-seed613,h200-n1,h200-n2,data/yeto-results-v6/v6-t20-s05120-raw-e1-seed613/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s05120-mu0-e2-seed613/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: control
G6,135M,20,512,10240,nesterov_corrected,0.9,e2,e2,601,0.0013424060356650182,0.025175275959718465,v6-t20-s10240-corrected-e2-seed601,v6-t20-s10240-mu0-e2-seed601,h200-n1,h200-n2,data/yeto-results-v6/v6-t20-s10240-corrected-e2-seed601/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s10240-mu0-e2-seed601/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: control
G6,135M,20,512,10240,nesterov_corrected,0.9,e2,e2,607,0.0013424060356650182,0.025175275959718465,v6-t20-s10240-corrected-e2-seed607,v6-t20-s10240-mu0-e2-seed607,h200-n1,h200-n2,data/yeto-results-v6/v6-t20-s10240-corrected-e2-seed607/attempt-1/work/m4/state.ckpt,data/yeto-results-v6/v6-t20-s10240-mu0-e2-seed607/attempt-1/work/m4/state.ckpt,false,false,LOST_N2,n2-resident weights not present: control
