momentum_point_id,campaign,reason
DISAMBIG:135M:T5:mu0.9:corrected:H2048:S10240,DISAMBIG,no complete frozen readout-to-evacuated-telemetry mapping
DISAMBIG:135M:T5:mu0.9:corrected:H1024:S5120,DISAMBIG,no complete frozen readout-to-evacuated-telemetry mapping
DISAMBIG:135M:T5:mu0.9:raw:H2048:S10240,DISAMBIG,no complete frozen readout-to-evacuated-telemetry mapping
DISAMBIG:135M:T5:mu0.9:raw:H1024:S5120,DISAMBIG,no complete frozen readout-to-evacuated-telemetry mapping
G12:135M:T2:mu0.9:heavy_ball:H1280:S2560,G12,no complete frozen readout-to-evacuated-telemetry mapping
G12:135M:T5:mu0.9:heavy_ball:H512:S2560,G12,no complete frozen readout-to-evacuated-telemetry mapping
G12:135M:T20:mu0.9:heavy_ball:H128:S2560,G12,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T2:mu0.9:corrected:H5120:S10240,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T2:mu0.9:corrected:H1280:S2560,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T2:mu0.9:corrected:H2560:S5120,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T2:mu0.9:raw:H5120:S10240,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T2:mu0.9:raw:H1280:S2560,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T2:mu0.9:raw:H2560:S5120,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T5:mu0.9:corrected:H2048:S10240,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T5:mu0.9:corrected:H512:S2560,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T5:mu0.9:corrected:H1024:S5120,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T5:mu0.9:raw:H2048:S10240,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T5:mu0.9:raw:H512:S2560,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T5:mu0.9:raw:H1024:S5120,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T10:mu0.9:corrected:H1024:S10240,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T10:mu0.9:corrected:H256:S2560,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T10:mu0.9:corrected:H512:S5120,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T10:mu0.9:raw:H1024:S10240,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T10:mu0.9:raw:H256:S2560,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T10:mu0.9:raw:H512:S5120,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T20:mu0.9:corrected:H512:S10240,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T20:mu0.9:corrected:H128:S2560,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T20:mu0.9:corrected:H256:S5120,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T20:mu0.9:raw:H512:S10240,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T20:mu0.9:raw:H128:S2560,G6,no complete frozen readout-to-evacuated-telemetry mapping
G6:135M:T20:mu0.9:raw:H256:S5120,G6,no complete frozen readout-to-evacuated-telemetry mapping
TP-pilot:135M:T10:mu0.9:raw:H512:S5120,TP-pilot,no complete frozen readout-to-evacuated-telemetry mapping
TP-v1:135M:T5:mu0.9:raw:H512:S2560,TP-v1,no complete frozen readout-to-evacuated-telemetry mapping
TP-v1:135M:T10:mu0.5:raw:H256:S2560,TP-v1,no complete frozen readout-to-evacuated-telemetry mapping
TP-v1:135M:T160:mu0.5:raw:H16:S2560,TP-v1,no complete frozen readout-to-evacuated-telemetry mapping
TP-v1:135M:T160:mu0.9:raw:H16:S2560,TP-v1,no complete frozen readout-to-evacuated-telemetry mapping
TP-v2:135M:T5:mu0.9:raw:H512:S2560,TP-v2,no complete frozen readout-to-evacuated-telemetry mapping
TP-v2:135M:T40:mu0.9:raw:H64:S2560,TP-v2,no complete frozen readout-to-evacuated-telemetry mapping
TP-v2:135M:T160:mu0.9:raw:H16:S2560,TP-v2,no complete frozen readout-to-evacuated-telemetry mapping
TP-v3:135M:T2:mu0.9:corrected:H512:S1024,TP-v3,no complete frozen readout-to-evacuated-telemetry mapping
TP-v3:135M:T2:mu0.9:raw:H512:S1024,TP-v3,no complete frozen readout-to-evacuated-telemetry mapping
TP-v3:135M:T5:mu0.9:corrected:H512:S2560,TP-v3,no complete frozen readout-to-evacuated-telemetry mapping
