momentum_point_id,campaign,scale,T,H,S,convention,mu,observed_to_law_ratio,c1_prediction,phi,ln_phi,selected_rung,selected_eta,telemetry_run_count,telemetry_lag1_pair_count,rho_energy_weighted,fisher_z_rho,stratum,cell_ids,telemetry_sha256s
G8:135M:T2:mu0.8:corrected:H512:S1024,G8,135M,2,512,1024,nesterov_corrected,0.8,0.9442920783389919,1.0,0.9442920783389919,-0.057319755672380124,e2,0.019335565599854054,3,12,0.5489793420142518,0.6169191803454965,G8|135M|nesterov_corrected|0.8,v8-t02-corrected-mu0p80-e2-seed801;v8-t02-corrected-mu0p80-e2-seed809;v8-t02-corrected-mu0p80-e2-seed811,14d8c19054d07c93df90207a32f0227a8162676d33b813b1ffbfb79f95e9b240;dfd8fa5ecc0ad1c6de52670cddf981fb2dced261e91a23fc0c6722dd1d718245;a4e1d45129b2187ff1308cb08619c056815c7d5e650a2368e5503b27a96fae2f
G8:135M:T5:mu0.8:corrected:H512:S2560,G8,135M,5,512,2560,nesterov_corrected,0.8,0.8627037235695959,1.0,0.8627037235695959,-0.1476839567276321,e1,0.005866126006690681,3,48,0.6120622111120373,0.7122122629865063,G8|135M|nesterov_corrected|0.8,v8-t05-corrected-mu0p80-e1-seed801;v8-t05-corrected-mu0p80-e1-seed809;v8-t05-corrected-mu0p80-e1-seed811,629a94a790dbd22af1110805ed5a9437be04b9599a713a881d164fdf002db0cc;c5fe2657fad3c417302699375814d2bc8404835001acf63c6971a3b372262fb7;9e7f457144812c91a7a74d509481431d7ec259cc748038e851488918c5a12a2c
G8:135M:T20:mu0.8:corrected:H512:S10240,G8,135M,20,512,10240,nesterov_corrected,0.8,0.5973075556014716,1.0,0.5973075556014716,-0.5153231297315974,e2,0.004071667090341023,3,228,0.6032474015643358,0.6982367843050818,G8|135M|nesterov_corrected|0.8,v8-t20-corrected-mu0p80-e2-seed801;v8-t20-corrected-mu0p80-e2-seed809;v8-t20-corrected-mu0p80-e2-seed811,0ac45a2c915f23028228b5a4daa612a34e6ab461d63ecec6c537bbb63ed9b0d4;f6031f076d63f0c6dad1f2b170144ea02862f3969ae53ba6f0b60660ce512d2b;c3d8b4dc9ca1d2b684e38c1dd6eb8b549faab2030e6c6cce435974c5c007dd09
G8:135M:T2:mu0.95:corrected:H512:S1024,G8,135M,2,512,1024,nesterov_corrected,0.95,0.9536161539834256,1.0,0.9536161539834256,-0.04749404281513427,e2,0.004799038687647636,3,12,0.5489067007710209,0.6168152083401782,G8|135M|nesterov_corrected|0.95,v8-t02-corrected-mu0p95-e2-seed801;v8-t02-corrected-mu0p95-e2-seed809;v8-t02-corrected-mu0p95-e2-seed811,714a9991cf9d0ae0799a0f382ec411155a7a415675efc2da1ec6c75ddbc5f5cd;0dfc7e38d953212047329081b9075c5b0be199e02643200e01a2c4f0f4474617;758f89e5f5410590479a77cc1c79471abb9751066f93f661e6ff673bf0f6a4b6
G8:135M:T5:mu0.95:corrected:H512:S2560,G8,135M,5,512,2560,nesterov_corrected,0.95,0.8200604922350179,1.0,0.8200604922350179,-0.19837717042647154,e1,0.0014324738026967655,3,48,0.6147581758029516,0.7165346180982262,G8|135M|nesterov_corrected|0.95,v8-t05-corrected-mu0p95-e1-seed801;v8-t05-corrected-mu0p95-e1-seed809;v8-t05-corrected-mu0p95-e1-seed811,d2085875ceb36f0161de69b422ae55a8165b17ecbb9fef08e0072764b89f39b9;0a07953e9fb2cd68cbe2e192c4f14ab88dc9adb2e962ddb6f25c0a1c1e80550c;7e05631091ef578407800e8edec42603863294aa0703ca166d230e47dc9766d6
G8:135M:T20:mu0.95:corrected:H512:S10240,G8,135M,20,512,10240,nesterov_corrected,0.95,0.4114036435543342,1.0,0.4114036435543342,-0.8881804453262366,e2,0.000916636640687302,3,228,0.6073712200473526,0.704745377878978,G8|135M|nesterov_corrected|0.95,v8-t20-corrected-mu0p95-e2-seed801;v8-t20-corrected-mu0p95-e2-seed809;v8-t20-corrected-mu0p95-e2-seed811,4de1cb91e55c224e55e774e74be5d0fcac79c76c309c2819d7c5e5de1be09cb7;8c5af20dbe923cf824e67d544ff2f213881a584401f478340aac534808f14180;7e91aa1017f1ecc0ce449ee1588dc329d91671d417397fb59d1635e4947d688e
G8:135M:T2:mu0.8:raw:H512:S1024,G8,135M,2,512,1024,nesterov_raw,0.8,0.9431435261475322,0.966594494277761,0.9757385664111905,-0.024560590734170027,e2,0.04915832487977942,3,12,0.5585054511845887,0.6306584619548627,G8|135M|nesterov_raw|0.8,v8-t02-raw-mu0p80-e2-seed801;v8-t02-raw-mu0p80-e2-seed809;v8-t02-raw-mu0p80-e2-seed811,9c0b2292dd74fd2e5f7c973de55ea12b5713dbe1360a0ac685506d0cd8632a9f;8a311c34116369de11af685caa5ea67a136772176b8e08415a805a0e5719c558;94df2745c0a8fdcd6de13a37fd861d958a165477bf125a5e1130ae72d1053ed0
G8:135M:T5:mu0.8:raw:H512:S2560,G8,135M,5,512,2560,nesterov_raw,0.8,0.41164397486123167,0.4757738584549814,0.865209316455503,-0.14478381698212414,e1,0.010259810641019997,3,48,0.6153559334285922,0.7174960996649401,G8|135M|nesterov_raw|0.8,v8-t05-raw-mu0p80-e1-seed801;v8-t05-raw-mu0p80-e1-seed809;v8-t05-raw-mu0p80-e1-seed811,79e448e0fedac5d718e8550fdae4c9633c2f2f0f4ce70de3728f8a346ec94f8e;cb337c9723853244c84b98e22bfb762c961125444991b7bbf7f7e4defe55a149;eb3268227636b46dc4139f8d91011d483f50dfcaa433150c0217f54b0ff99778
G8:135M:T20:mu0.8:raw:H512:S10240,G8,135M,20,512,10240,nesterov_raw,0.8,0.16378592438337608,0.23978514451759084,0.6830528417967136,-0.38118305520533224,e2,0.006457342906671422,3,228,0.6005619053893484,0.6940256207068716,G8|135M|nesterov_raw|0.8,v8-t20-raw-mu0p80-e2-seed801;v8-t20-raw-mu0p80-e2-seed809;v8-t20-raw-mu0p80-e2-seed811,4a6cef1beaba47a0799d1a4ba5ca70c0d6e6a864f6499f950f17760caced4a22;b907acd47c4c18c99b4327cffcf0af8b4c65c87393a94845de71e76c7f0050e8;69498ceae86fb2c6b5b755e2f7ac3f01560a5f5858e2ab218367e3cb57a912e4
G8:135M:T2:mu0.95:raw:H512:S1024,G8,135M,2,512,1024,nesterov_raw,0.95,2.80835314957009,2.9198931866573536,0.9617999598077925,-0.03894879192710494,e2,0.043469021452857526,3,12,0.5560081781104029,0.6270364087422621,G8|135M|nesterov_raw|0.95,v8-t02-raw-mu0p95-e2-seed801;v8-t02-raw-mu0p95-e2-seed809;v8-t02-raw-mu0p95-e2-seed811,a35d1f4930633f8f573f94381e6647dbc1a719cbf3545ba7ad3d6ab6c822a6f3;291414ed846124ff16c186c482faae218016bcda2d86b9d942f488c9230a09c2;887aaa0bee8852376f2779680366b912a233118b34a1294357893fc3854fa1dd
G8:135M:T5:mu0.95:raw:H512:S2560,G8,135M,5,512,2560,nesterov_raw,0.95,0.8541242526678957,1.029427507324117,0.8297080140087739,-0.18668143043510965,e2,0.014640247586687728,3,48,0.6028910088215389,0.6976766891570958,G8|135M|nesterov_raw|0.95,v8-t05-raw-mu0p95-e2-seed801;v8-t05-raw-mu0p95-e2-seed809;v8-t05-raw-mu0p95-e2-seed811,91aac8c442936635be07b6fc53e9abbe009673795993442d8afd264b3720a07e;9242688061c000bd3058e5931bbc31fa7d891e0dbb014eef82bbc003f3d5690c;d2da7a68670168c71ef511abdc9db9180ad56b71713c462e447a934a361a6bfc
G8:135M:T20:mu0.95:raw:H512:S10240,G8,135M,20,512,10240,nesterov_raw,0.95,0.07879358825449666,0.18008564256687604,0.4375339817844508,-0.8266009035506587,e2,0.0023772704381995425,3,228,0.6131555562700254,0.7139624272689478,G8|135M|nesterov_raw|0.95,v8-t20-raw-mu0p95-e2-seed801;v8-t20-raw-mu0p95-e2-seed809;v8-t20-raw-mu0p95-e2-seed811,bf6fd7871a8f5babffb4d7b5c55da0769c6311c6d50c7fec9d60307cf7b7cb81;062868cf9a0c8fa701a706ee280775df0decf8271e636f0b03d360827448af12;ee215241f71a1373b6fdf5f455e54268ad85bfab8fd87b79c8beebd42f5f451f
