convention,mu,model,dropped,n,chi2_eff_per_dof,p_r_inf,p_r0_amp,p_tau,p_c,p_a,p_rho
nesterov_raw,0.9,saturating_exp,(none),24,1.2227811813565002,0.97687,6.8054,6.9306,,,
nesterov_raw,0.9,saturating_exp,DISAMBIG,22,1.303597585052281,0.9771,6.81913,6.9306,,,
nesterov_raw,0.9,saturating_exp,G6,12,0.9614712555289456,0.9985,6.66075,6.9306,,,
nesterov_raw,0.9,saturating_exp,TP-pilot,23,1.134324213742046,0.97948,6.9404,6.73945,,,
nesterov_raw,0.9,saturating_exp,TP-v1,22,1.2933096629810918,0.95911,6.83051,7.12718,,,
nesterov_raw,0.9,saturating_exp,TP-v2,21,1.3198701559864918,0.9436,6.85871,7.32934,,,
nesterov_raw,0.9,saturating_exp,TP-v3,20,1.266511462524133,0.99593,6.70691,6.73945,,,
nesterov_raw,0.9,sat_exp_to_one,(none),24,1.2017452092295415,,6.70882,6.73945,,,
nesterov_raw,0.9,sat_exp_to_one,DISAMBIG,22,1.2778971910597112,,6.72173,6.73945,,,
nesterov_raw,0.9,sat_exp_to_one,G6,12,0.8656301037615289,,6.64072,6.9306,,,
nesterov_raw,0.9,sat_exp_to_one,TP-pilot,23,1.1139789514762233,,6.87942,6.55356,,,
nesterov_raw,0.9,sat_exp_to_one,TP-v1,22,1.30712097426072,,6.6977,6.73945,,,
nesterov_raw,0.9,sat_exp_to_one,TP-v2,21,1.3648273039989982,,6.71795,6.73945,,,
nesterov_raw,0.9,sat_exp_to_one,TP-v3,20,1.1982376605854776,,6.6547,6.73945,,,
nesterov_corrected,0.9,power_law,(none),18,0.8791009230091191,,,,1.07629,0.18856,
nesterov_corrected,0.9,power_law,DISAMBIG,16,0.9658740271674529,,,,1.08145,0.18964,
nesterov_corrected,0.9,power_law,G6,6,0.8872997161410036,,,,1.17585,0.23955,
nesterov_corrected,0.9,power_law,TP-v3,14,0.8056387613908708,,,,1.0385,0.17016,
nesterov_corrected,0.9,exp_decay,(none),18,1.1531539134770157,,,,0.91954,,0.97805
nesterov_corrected,0.9,exp_decay,DISAMBIG,16,1.2203297850811168,,,,0.93163,,0.97742
nesterov_corrected,0.9,exp_decay,G6,6,0.5620431347733144,,,,0.96154,,0.97093
nesterov_corrected,0.9,exp_decay,TP-v3,14,1.2601913157362867,,,,0.8921,,0.98118
