convention,mu,scale,T,n_pairs,r_mean,r_lo,r_hi,log2_r_mean,se_log2_r,M_code,log2_r_over_M,campaigns,pair_types
heavy_ball,0.9,135M,2,1,6.282910341146661,5.379837327509087,7.337575460328077,2.6514329925770923,0.11422171238940382,1.9,1.7254335740208693,G12,within_campaign
heavy_ball,0.9,135M,5,1,2.966559294935615,2.5660221243348778,3.429617370368546,1.5687906193577001,0.10676574241089945,4.0951,-0.4651080627265536,G12,within_campaign
heavy_ball,0.9,135M,20,1,1.1541839379981877,1.0041542813344624,1.3266293710988988,0.20687315924462804,0.10249791038648569,8.78423345409431,-2.9280432373786036,G12,within_campaign
nesterov_corrected,0.8,135M,2,1,0.9442920783389868,0.8212850538437558,1.0857223384749444,-0.08269492725351764,0.10273154292295723,1.0,-0.08269492725351764,G8,within_campaign
nesterov_corrected,0.8,135M,5,1,0.8627037235695867,0.7486468314374859,0.9941372666091054,-0.2130629119898305,0.10437941001994087,1.0,-0.2130629119898305,G8,within_campaign
nesterov_corrected,0.8,135M,20,1,0.597307555601468,0.5197542325821886,0.6864327284187798,-0.7434541237191645,0.1023714574009301,1.0,-0.7434541237191645,G8,within_campaign
nesterov_corrected,0.9,135M,2,4,0.9415079982642462,0.8628980402370039,1.0272793185995401,-0.08695474406575514,0.06417630667432606,1.0,-0.08695474406575514,G6;TP-v3,within_campaign
nesterov_corrected,0.9,135M,5,6,0.7935285551440979,0.7391398902463439,0.8519193404907621,-0.33364595547712955,0.05226356418311852,1.0,-0.33364595547712955,DISAMBIG;G6;TP-v3,within_campaign
nesterov_corrected,0.9,135M,10,4,0.7073028994839421,0.6479853471271924,0.7720504697156255,-0.4995999194564931,0.06447413654927071,1.0,-0.4995999194564931,G6;TP-v3,within_campaign
nesterov_corrected,0.9,135M,20,4,0.6061730946349763,0.555338614317076,0.6616608519312276,-0.7221982762493196,0.06447164611914735,1.0,-0.7221982762493196,G6;TP-v3,within_campaign
nesterov_corrected,0.95,135M,2,1,0.9536161539834154,0.8287292993887886,1.0973230580948656,-0.06851942004117777,0.10332217707480339,1.0,-0.06851942004117777,G8,within_campaign
nesterov_corrected,0.95,135M,5,1,0.8200604922349708,0.710797822238221,0.9461188398228902,-0.286197759999938,0.10525248183626054,1.0,-0.286197759999938,G8,within_campaign
nesterov_corrected,0.95,135M,20,1,0.4114036435542873,0.3580442340615033,0.4727152173624154,-1.281373523886877,0.10225531611335835,1.0,-1.281373523886877,G8,within_campaign
nesterov_raw,0.5,135M,5,1,1.1317446881904674,0.9843340210716862,1.3012310982128066,0.17854853535601561,0.10272059752382195,1.96875,-0.7987313881439009,TP-pilot,cross_campaign
nesterov_raw,0.5,135M,10,1,1.0839893524694186,0.9179409337390939,1.2800746465033976,0.11635058582922923,0.12238865526080621,1.9990234375,-0.8829448011941814,TP-v1,within_campaign
nesterov_raw,0.5,135M,160,1,1.0035661352954173,0.8712181874634687,1.1560192411088879,0.005135693849292481,0.10409870712926529,2.0,-0.9948643061507075,TP-v1,within_campaign
nesterov_raw,0.8,135M,2,1,2.301270203799977,1.9991687795257622,2.6490232366243003,1.202430387645397,0.10358869484804116,2.44,-0.08445076014276465,G8,within_campaign
nesterov_raw,0.8,135M,5,2,1.6041532299363723,1.4519320844350403,1.7723333017443392,0.6818119557023594,0.07338807519836728,3.68928,-1.2015273316447879,G8;TP-pilot,cross_campaign;within_campaign
nesterov_raw,0.8,135M,20,1,0.8113763293419334,0.7061485816413859,0.9322847413870754,-0.3015568801409737,0.1022464910326361,4.953883139815727,-2.6101167165094963,G8,within_campaign
nesterov_raw,0.9,1.7B,5,1,1.7416157949788533,1.5278668235332216,1.9852683038862189,0.8004263967191038,0.09638319980677267,4.68559,-1.4278043238402383,G4C,within_campaign
nesterov_raw,0.9,1.7B,20,1,1.280694347444933,1.1145193102048296,1.4716461137635792,0.35692620086163473,0.10230013889984765,8.905810108684879,-2.7978206498390925,G4C,within_campaign
nesterov_raw,0.9,135M,2,5,4.194826853425582,3.987678240818418,4.412736250908975,2.0686112629035867,0.037277346793856234,2.7099999999999995,0.63031841132444,G6;TP-pilot;TP-v3,cross_campaign;within_campaign
nesterov_raw,0.9,135M,5,8,2.4703778894477995,2.3765359481920236,2.567925354259973,1.304731745264469,0.02850640178295146,4.68559,-0.923498975294873,DISAMBIG;G6;TP-v1;TP-v2;TP-v3,within_campaign
nesterov_raw,0.9,135M,10,5,1.5803438389807714,1.5065096252975174,1.6577966761488556,0.6602384829749275,0.035219316773291036,6.861894039100001,-2.1183683650941685,G6;TP-pilot;TP-v3,within_campaign
nesterov_raw,0.9,135M,20,4,1.030036000277648,0.9763513942963018,1.0866724501711438,0.04269476120888518,0.03939989790074468,8.905810108684879,-3.1120520894918418,G6;TP-v3,within_campaign
nesterov_raw,0.9,135M,40,1,0.9964531442050893,0.8508030444372444,1.167037277414734,-0.005126127467043421,0.11631681678863177,9.86697205352709,-3.3077335501858816,TP-v2,within_campaign
nesterov_raw,0.9,135M,160,2,1.0315946161509209,0.9565192575772318,1.1125624953616164,0.04487614889444113,0.05561848586826196,9.999999570420036,-3.2770518840176313,TP-v1;TP-v2,within_campaign
nesterov_raw,0.9,7B,5,1,2.6467689956349796,2.223837406317243,3.1501341313687936,1.404232284975014,0.1281559132038514,4.68559,-0.823998435584328,G9B,within_campaign
nesterov_raw,0.95,135M,2,1,8.010827359148667,6.965354988571444,9.213221017934998,3.001951252034701,0.10293779484089594,2.8524999999999996,1.4897243655207444,G8,within_campaign
nesterov_raw,0.95,135M,5,2,4.818121247909142,4.360777857137605,5.323429241312306,2.2684706994203525,0.07341216509590323,5.298162187499999,-0.13702130878708774,G8;TP-pilot,cross_campaign;within_campaign
nesterov_raw,0.95,135M,20,1,1.0391903139493823,0.9042953668097514,1.1942077204443005,0.05545988893700368,0.10234571318354663,13.188767474237691,-3.665777953110755,G8,within_campaign
