stratum,convention,mu,campaign,control_campaign,pair_type,scale,T,H,S,eta_ratio,r,r_ci_lo,r_ci_hi,se_log_r,M_code,r_over_M,log2_r,log2_r_over_M,noise_eligible,momentum_point_id,control_point_id
heavy_ball:mu0.9,heavy_ball,0.9,G12,G12,within_campaign,135M,2,1280,2560,0.6282910341146659,6.2829103411466605,5.625743097783259,6.83968385493296,0.0353989501305544,1.9,3.3067949163929793,2.6514329925770923,1.725433574020869,True,G12:135M:T2:mu0.9:heavy_ball:H1280:S2560,G12:135M:T2:mu0:mu0:H1280:S2560
heavy_ball:mu0.9,heavy_ball,0.9,G12,G12,within_campaign,135M,5,512,2560,0.29665592949356145,2.966559294935615,2.777755366626755,3.128388877286318,0.02148150023918711,4.0951,0.7244168139814937,1.5687906193577001,-0.46510806272655336,True,G12:135M:T5:mu0.9:heavy_ball:H512:S2560,G12:135M:T5:mu0:mu0:H512:S2560
heavy_ball:mu0.9,heavy_ball,0.9,G12,G12,within_campaign,135M,20,128,2560,0.11541839379981875,1.1541839379981877,1.1340267120674856,1.16701551796336,0.005688694730584787,8.78423345409431,0.13139267575592786,0.206873159244628,-2.9280432373786036,True,G12:135M:T20:mu0.9:heavy_ball:H128:S2560,G12:135M:T20:mu0:mu0:H128:S2560
nesterov_corrected:mu0.8,nesterov_corrected,0.8,G8,G8,within_campaign,135M,2,512,1024,0.18885841566779732,0.9442920783389868,0.9215059532823537,0.9601794285754259,0.007442992831376501,1.0,0.9442920783389868,-0.08269492725351764,-0.08269492725351764,True,G8:135M:T2:mu0.8:corrected:H512:S1024,G8:135M:T2:mu0:mu0:H512:S1024
nesterov_corrected:mu0.8,nesterov_corrected,0.8,G8,G8,within_campaign,135M,5,512,2560,0.1725407447139173,0.8627037235695867,0.8391794027989646,0.9018938159099409,0.014811231815834285,1.0,0.8627037235695867,-0.2130629119898305,-0.2130629119898305,True,G8:135M:T5:mu0.8:corrected:H512:S2560,G8:135M:T5:mu0:mu0:H512:S2560
nesterov_corrected:mu0.8,nesterov_corrected,0.8,G8,G8,within_campaign,135M,20,512,10240,0.11946151112029356,0.597307555601468,0.5895372025614961,0.6028834603034547,0.004462562835977767,1.0,0.597307555601468,-0.7434541237191645,-0.7434541237191645,True,G8:135M:T20:mu0.8:corrected:H512:S10240,G8:135M:T20:mu0:mu0:H512:S10240
nesterov_corrected:mu0.9,nesterov_corrected,0.9,TP-v3,TP-v3;TP-v3,within_campaign,135M,2,512,1024,0.09552656777062775,0.9552656777062777,0.9160446371620199,0.9918881577989282,0.01535018644424748,1.0,0.9552656777062777,-0.06602606477147446,-0.06602606477147446,True,TP-v3:135M:T2:mu0.9:corrected:H512:S1024,TP-v3:135M:T2:mu0:corrected:H512:S1024;TP-v3:135M:T2:mu0:raw:H512:S1024
nesterov_corrected:mu0.9,nesterov_corrected,0.9,G6,G6,within_campaign,135M,2,1280,2560,0.09332157826001757,0.9332157826001759,0.9202959688178933,0.9438422958622434,0.004792187935240886,1.0,0.9332157826001759,-0.099717388415587,-0.099717388415587,True,G6:135M:T2:mu0.9:corrected:H1280:S2560,G6:135M:T2:mu0:mu0:H1280:S2560
nesterov_corrected:mu0.9,nesterov_corrected,0.9,G6,G6,within_campaign,135M,2,2560,5120,0.09221744167165562,0.9221744167165564,0.8799838308599679,0.9676428182846696,0.01752507988717548,1.0,0.9221744167165564,-0.11688845233001639,-0.11688845233001639,True,G6:135M:T2:mu0.9:corrected:H2560:S5120,G6:135M:T2:mu0:mu0:H2560:S5120
nesterov_corrected:mu0.9,nesterov_corrected,0.9,G6,G6,within_campaign,135M,2,5120,10240,0.0955663102301688,0.9556631023016883,0.9325626735426666,0.9901591640552467,0.010855063021603757,1.0,0.9556631023016883,-0.06542597699511014,-0.06542597699511014,True,G6:135M:T2:mu0.9:corrected:H5120:S10240,G6:135M:T2:mu0:mu0:H5120:S10240
