model,desc,n_global,n_stratum,stratum_note,k,theta,rmse_full_bits,rmse_loco_bits,aic,bic,het_chi2,het_dof,het_p,coverage,per_campaign,delta_vs_B0,delta_jk_se,campaigns_improved
H7-rho-floor-S,H6 + global local-work tilt (S/2560)^sigma,5,4,3 scale intercepts + 1 corrected-arm tilt,9,"{'rho0': 4.065651206108498, 'd': 0.6574710105443646, 'alpha': 1.255628561515159, 'f': 0.15511415208657792, 'beta_c': 0.1499605889241644, 'sigma': 0.10518719510699598}",0.3172504547079749,0.3627538363046413,-237.16627756041566,-209.98128884746473,108308.6682128556,97,0.0,0.10377358490566038,"{'DISAMBIG': 0.12573412231423467, 'G12': 0.5179798683119063, 'G4C': 0.4081075974759772, 'G5B': 1.317105257862321, 'G6': 0.2343178636316751, 'G8': 0.39567154843360414, 'G9A': 0.12170667023219603, 'G9B': 0.6396044493746216, 'TP-pilot': 0.41422666171050526, 'TP-v1': 0.14615430356087464, 'TP-v2': 0.15263313092347286, 'TP-v3': 0.1920084180814215}",-1.0103911383749833,0.09778105337767524,10
H6-rho-powerlaw-floor,M_eff=1+rho0*d^T*(M-1); base (T^-a + f); corrected extra T^-beta_c,4,4,3 scale intercepts + 1 corrected-arm tilt,8,"{'rho0': 4.020476899398141, 'd': 0.6574340900974928, 'alpha': 1.1785943182278267, 'f': 0.18136390546026954, 'beta_c': 0.1392722227477973}",0.3310168978329198,0.3697682361734436,-229.65123130795757,-205.18474146630172,142105.39531375014,98,0.0,0.09433962264150944,"{'DISAMBIG': 0.20535816614302202, 'G12': 0.5279520531718778, 'G4C': 0.3645089583260639, 'G5B': 1.3626675147220728, 'G6': 0.20420633319716458, 'G8': 0.43184661286860004, 'G9A': 0.1589255900889021, 'G9B': 0.7137388843839932, 'TP-pilot': 0.4156913510652401, 'TP-v1': 0.16937522269312338, 'TP-v2': 0.201476261146185, 'TP-v3': 0.14707340324857246}",-1.003376738506181,0.1048591619486157,10
H4-rho-powerlaw,M_eff=1+rho0*d^T*(M-1); base T^-a; corrected extra T^-beta_c,3,4,3 scale intercepts + 1 corrected-arm tilt,7,"{'rho0': 8.962475934648864, 'd': 0.5344979828511462, 'alpha': 0.30937481437623116, 'beta_c': 0.18449925724077226}",0.3844501956122119,0.4287927231426361,-198.13079042735237,-176.38279945699162,185619.05592384445,99,0.0,0.14150943396226415,"{'DISAMBIG': 0.13046902361394197, 'G12': 0.5571242664381648, 'G4C': 0.3263423853813049, 'G5B': 1.4227272848641883, 'G6': 0.2968386010928447, 'G8': 0.39944124904220507, 'G9A': 0.16766621158230915, 'G9B': 0.6727552600454647, 'TP-pilot': 0.4506091491351901, 'TP-v1': 0.5209635507624651, 'TP-v2': 0.420567003172228, 'TP-v3': 0.23952354360112704}",-0.9443522515369884,0.08834481346678234,10
H5-rho-powerlaw-S,H4 + global local-work tilt (S/2560)^sigma,4,4,3 scale intercepts + 1 corrected-arm tilt,8,"{'rho0': 9.17909934223557, 'd': 0.5318389043625731, 'alpha': 0.313445592023146, 'beta_c': 0.1883300072740211, 'sigma': 0.02731006269632464}",0.38359515070600986,0.44143837343860376,-196.62953738033778,-172.16304753868192,184251.29133545843,98,0.0,0.12264150943396226,"{'DISAMBIG': 0.10856536884306894, 'G12': 0.5530438016636917, 'G4C': 0.34870526338262153, 'G5B': 1.418754826931381, 'G6': 0.3148114281385451, 'G8': 0.39777567047458284, 'G9A': 0.16033323919960157, 'G9B': 0.6520098521047076, 'TP-pilot': 0.4500459471196304, 'TP-v1': 0.5627014992046354, 'TP-v2': 0.4385558946277367, 'TP-v3': 0.2927428600609381}",-0.9317066012410207,0.08411353508980275,10
H1-rho+q_corr,"rho-decay M_eff; q shared, q_corr free",3,4,3 scale intercepts + 1 corrected-arm q,7,"{'rho0': 17.818283063453023, 'd': 0.4823475415592019, 'q': 0.9949682098638596, 'q_corr': 0.955077342450162}",0.5030219081456381,0.5351753266109391,-137.91522829074125,-116.16723732038051,373463.7083550969,99,0.0,0.0660377358490566,"{'DISAMBIG': 0.20266293278730732, 'G12': 0.723855868979195, 'G4C': 0.5236335553515835, 'G5B': 1.304209920247249, 'G6': 0.49153127247243605, 'G8': 0.49506462866107015, 'G9A': 0.18666361080481278, 'G9B': 0.4647697057312703, 'TP-pilot': 0.4350384109344922, 'TP-v1': 0.5805186871540619, 'TP-v2': 0.5372762760871461, 'TP-v3': 0.47031532623854433}",-0.8379696480686853,0.05931177583676963,11
R1-rho-decay,M_eff=1+rho0*d^T*(M-1); *q^T,3,3,3 scale intercepts,6,"{'rho0': 18.945778174129366, 'd': 0.49591405931546606, 'q': 0.9954877970270243}",0.5757514776912712,0.6066782212219546,-109.66573491651616,-90.6362428174505,525332.3576320931,100,0.0,0.11320754716981132,"{'DISAMBIG': 0.2593878769301982, 'G12': 0.7362130116587231, 'G4C': 0.5971062269827493, 'G5B': 1.2114888862941318, 'G6': 0.6134232992075151, 'G8': 0.6239066469782435, 'G9A': 0.5444165496063439, 'G9B': 0.4360841385503513, 'TP-pilot': 0.4160551336095907, 'TP-v1': 0.5924545897354512, 'TP-v2': 0.48444187000596367, 'TP-v3': 0.5886043865990869}",-0.7664667534576699,0.06151931180578319,11
R2-rho-mu-clock,M_eff=1+rho0*d^(T(1-mu))*(M-1); *q^T,3,3,3 scale intercepts,6,"{'rho0': 12.550590661324293, 'd': 0.0018874836779555221, 'q': 0.9952199745048682}",0.5977196929826694,0.6345896850287301,-101.27787616945326,-82.2483840703876,548386.5950311606,100,0.0,0.0660377358490566,"{'DISAMBIG': 0.24393594465340457, 'G12': 0.8165980534566976, 'G4C': 0.6138905142580807, 'G5B': 1.2271980207527642, 'G6': 0.609443481820391, 'G8': 0.6862993661971241, 'G9A': 0.5457090997598482, 'G9B': 0.41231000574825455, 'TP-pilot': 0.6498785712275664, 'TP-v1': 0.6328538823753667, 'TP-v2': 0.5059114111130006, 'TP-v3': 0.5849969771040872}",-0.7385552896508943,0.05784911323988837,11
H2-powerlaw-ratio,mu0: q^T; momentum: *(1-mu)*2^c_conv*T^-beta_conv,1,9,"3 scale intercepts + (c,beta) per momentum convention",10,"{'q': 1.0009702344479376, 'c_raw': 3.113976272276971, 'b_raw': 0.6915952216807173, 'c_cor': 1.4921157434597823, 'b_cor': 0.6332200663644267, 'c_hb': 4.730343498413167, 'b_hb': 1.2196032116878563}",0.5705673526022302,0.643034165130739,-103.69178893573016,-73.78830135148412,485646.07467597525,96,0.0,0.10377358490566038,"{'DISAMBIG': 0.2754559441411564, 'G12': 0.7289610600000312, 'G4C': 0.6755001265526824, 'G5B': 1.1640510337140346, 'G6': 0.5238964286957014, 'G8': 0.5753478314030707, 'G9A': 0.36242250359979816, 'G9B': 0.29656567015314694, 'TP-pilot': 0.7668312496204114, 'TP-v1': 1.0812846352833823, 'TP-v2': 0.789671598876245, 'TP-v3': 0.4997606512823579}",-0.7301108095488855,0.05748900820717871,12
H3-powerlaw-muclock,mu0: q^T; momentum: *(1-mu)*2^c*(T(1-mu))^-beta,1,9,"3 scale intercepts + (c,beta) per momentum convention",10,"{'q': 1.0003158667268293, 'c_raw': 0.941867311434883, 'b_raw': 0.5884935069813428, 'c_cor': -0.5507262546771821, 'b_cor': 0.523455283082043, 'c_hb': 0.6705132930674212, 'b_hb': 1.2143324168676888}",0.5784971189380226,0.7147381787232954,-100.60006361992356,-70.69657603567752,497443.5395791971,96,0.0,0.05660377358490566,"{'DISAMBIG': 0.2589515666040843, 'G12': 0.7850709842669318, 'G4C': 0.7272174914695549, 'G5B': 1.1902576263882507, 'G6': 0.5831957071033388, 'G8': 0.6716327124829523, 'G9A': 0.40765966907859524, 'G9B': 0.24503705293875414, 'TP-pilot': 0.4561629483422994, 'TP-v1': 1.4916556413470663, 'TP-v2': 0.6814451063381017, 'TP-v3': 0.5416201268059402}",-0.6584067959563291,0.08787283688552144,11
P1-mult-powerlaw,eta0[s]*(1-mu)*M*T^-a,1,3,3 scale intercepts,4,{'alpha': 0.6796511539578936},0.9979903416071093,1.0542415637089222,9.549383575640578,23.141877932116046,1959182.161689756,102,0.0,0.009433962264150943,"{'DISAMBIG': 0.3931122534386781, 'G12': 1.2277671915992643, 'G4C': 1.3591393077416298, 'G5B': 1.396568609102373, 'G6': 0.9271826756791717, 'G8': 0.9226759562605901, 'G9A': 1.0863442624671342, 'G9B': 0.5020226130216896, 'TP-pilot': 0.8747292602024611, 'TP-v1': 1.5997276579922604, 'TP-v2': 1.488044151412965, 'TP-v3': 0.9114137902064084}",-0.3189034109707023,0.05584476755626937,10
