model,DISAMBIG,G12,G4C,G5B,G6,G8,G9A,G9B,TP-pilot,TP-v1,TP-v2,TP-v3
B0-baseline,0.4861,1.7992,1.6305,1.1838,1.3309,1.3479,1.1143,0.494,1.165,1.7184,1.63,1.3536
P1-mult-powerlaw,0.3931,1.2278,1.3591,1.3966,0.9272,0.9227,1.0863,0.502,0.8747,1.5997,1.488,0.9114
Q1-conv-q,0.4379,1.7477,1.4619,1.251,1.2766,1.2824,1.0619,0.4196,1.1432,2.5181,1.1954,1.2674
Q2-mu-slope,0.4415,1.7198,1.4202,1.2048,1.2514,1.2579,1.019,0.397,1.1314,1.7841,1.3997,1.2221
X1-crossover-tau(mu),0.4812,1.7978,1.6337,1.1949,1.3322,1.3473,1.1192,0.4959,1.1668,1.7604,1.6559,1.352
X2-crossover-const-tau,0.4858,1.8031,1.6318,1.1842,1.3339,1.3513,1.115,0.495,1.168,1.7159,1.6303,1.3565
R1-rho-decay,0.2594,0.7362,0.5971,1.2115,0.6134,0.6239,0.5444,0.4361,0.4161,0.5925,0.4844,0.5886
R2-rho-mu-clock,0.2439,0.8166,0.6139,1.2272,0.6094,0.6863,0.5457,0.4123,0.6499,0.6329,0.5059,0.585
H1-rho+q_corr,0.2027,0.7239,0.5236,1.3042,0.4915,0.4951,0.1867,0.4648,0.435,0.5805,0.5373,0.4703
H2-powerlaw-ratio,0.2755,0.729,0.6755,1.1641,0.5239,0.5753,0.3624,0.2966,0.7668,1.0813,0.7897,0.4998
H3-powerlaw-muclock,0.259,0.7851,0.7272,1.1903,0.5832,0.6716,0.4077,0.245,0.4562,1.4917,0.6814,0.5416
H4-rho-powerlaw,0.1305,0.5571,0.3263,1.4227,0.2968,0.3994,0.1677,0.6728,0.4506,0.521,0.4206,0.2395
H5-rho-powerlaw-S,0.1086,0.553,0.3487,1.4188,0.3148,0.3978,0.1603,0.652,0.45,0.5627,0.4386,0.2927
H6-rho-powerlaw-floor,0.2054,0.528,0.3645,1.3627,0.2042,0.4318,0.1589,0.7137,0.4157,0.1694,0.2015,0.1471
H7-rho-floor-S,0.1257,0.518,0.4081,1.3171,0.2343,0.3957,0.1217,0.6396,0.4142,0.1462,0.1526,0.192
