campaign,scale,T,S,H,fit_policy,mu0_fit_status,mu9_fit_status,eta0_star,eta9_star,a1_momentum_grid_position,a1_momentum_boundary_ratio,a1_gain,a1_ci_low,a1_ci_high,a1_label,a1_valid_bootstraps,a2_gain,a2_ci_low,a2_ci_high,a2_label,tuned_gain,tuned_ci_low,tuned_ci_high,tuned_label,tuned_valid_bootstraps,flip_a1,flip_a2,source_sha256
135M pilot S-scan,135M,2,1024,512,pilot_convex_extrapolation,EXTRAPOLATED,INTERIOR,0.07889721711644405,0.03244820149733054,above,2.012111725684733,-0.03722592433405314,-0.0645314543637947,-0.026862950837298172,HURT,10000,,,,NOT_EVALUABLE,0.0035300934161632824,-0.006679773015630719,0.007876482631276716,NULL,10000,False,,26b5e4860fa7aaafe83b70bb1155331985a77a68d7105348560253817bd28bca
135M pilot S-scan,135M,10,5120,512,pilot_convex_extrapolation,INTERIOR,INTERIOR,0.030915581779468425,0.005208472183693894,above,2.7032911387851812,-0.3805005440770888,-0.40742915438703653,-0.3542275457543651,HURT,10000,,,,NOT_EVALUABLE,-0.011486783533404044,-0.01274474976596407,-0.010331564039064212,HURT,10000,False,,26b5e4860fa7aaafe83b70bb1155331985a77a68d7105348560253817bd28bca
135M pilot S-scan,135M,20,10240,512,pilot_convex_extrapolation,EXTRAPOLATED,EXTRAPOLATED,0.024191279999538753,0.0011991657300677882,above,2.850748478079115,-0.2280742382016725,-0.23064744377289204,-0.22459627982520747,HURT,10000,,,,NOT_EVALUABLE,0.0016870476445087768,-0.0027804663509045646,0.007821517135672806,NULL,10000,False,,26b5e4860fa7aaafe83b70bb1155331985a77a68d7105348560253817bd28bca
135M v1,135M,160,2560,16,strict,INTERIOR,INTERIOR,0.023248991460215012,0.002386693274672115,above,5.055609794034321,-0.10645537761833168,-0.10868575197911223,-0.10426620362965489,HURT,10000,,,,NOT_EVALUABLE,-0.0016577212846948797,-0.0017694294625525409,-0.001553439145800084,HURT,10000,False,,c2dcd6b9ab7dce0dc28d1e2473a72c7e0bdb8d6221728f09503a6354a39cae2b
135M v1,135M,40,2560,64,strict,INTERIOR,UNBRACKETED_LOW,0.018741287437382816,,above,4.075386946714836,-0.0967251584056692,-0.10817959355604545,-0.08688724757889199,HURT,10000,,,,NOT_EVALUABLE,,,,NOT_EVALUABLE,0,,,c2dcd6b9ab7dce0dc28d1e2473a72c7e0bdb8d6221728f09503a6354a39cae2b
135M v1,135M,10,2560,256,strict,INTERIOR,UNBRACKETED_LOW,0.027033408102831738,,above,1.4696375432530158,-0.27669514315662447,-0.34150264308444545,-0.2641819960420584,NOT_EVALUABLE,6361,,,,NOT_EVALUABLE,,-0.03549306611895986,-0.023293662288832895,NOT_EVALUABLE,901,,,c2dcd6b9ab7dce0dc28d1e2473a72c7e0bdb8d6221728f09503a6354a39cae2b
135M v1,135M,5,2560,512,strict,INTERIOR,INTERIOR,0.04440765882962794,0.011153409369293174,above,2.4141670327226037,-0.18738619024503267,-0.22518351795792135,-0.1656823952337767,HURT,10000,,,,NOT_EVALUABLE,-0.0044745802579551075,-0.005914833819962606,-0.0029306072521517734,HURT,10000,False,,c2dcd6b9ab7dce0dc28d1e2473a72c7e0bdb8d6221728f09503a6354a39cae2b
135M v2,135M,160,2560,16,strict,INTERIOR,INTERIOR,0.02306165614327405,0.0023900979060092107,above,5.014872789819925,-0.10828630011682172,-0.11048944242604408,-0.1053078446407194,HURT,10000,,,,NOT_EVALUABLE,-0.001313919569218669,-0.0015135653085773804,-0.0011386811180638112,HURT,10000,False,,5d4eed9685f25fd1db3135319908a045a389300a008a67bc009cd178cabe2fc8
135M v2,135M,40,2560,64,strict,INTERIOR,INTERIOR,0.01963529535996896,0.0019565651798894262,above,3.01919990975426,-0.11205479457005962,-0.11782437355182829,-0.10115526680400766,HURT,9996,,,,NOT_EVALUABLE,-0.016033782632002502,-0.016883494394065224,-0.015412268676430863,HURT,9996,False,,5d4eed9685f25fd1db3135319908a045a389300a008a67bc009cd178cabe2fc8
135M v2,135M,10,2560,256,strict,INTERIOR,UNBRACKETED_LOW,0.02705318346965591,,above,2.9413784701945627,-0.09729059007886587,-0.3012306111441516,0.0860872108678783,NULL,9961,,,,NOT_EVALUABLE,,-0.018138444756088834,-0.0063621933611899386,NOT_EVALUABLE,4338,,,5d4eed9685f25fd1db3135319908a045a389300a008a67bc009cd178cabe2fc8
135M v2,135M,5,2560,512,strict,INTERIOR,INTERIOR,0.04429579005615981,0.010814101576198998,above,2.4080854262606644,-0.21982787928646008,-0.34255021642212435,-0.14386001976186247,HURT,10000,,,,NOT_EVALUABLE,-0.0034244772719631555,-0.011066518962080885,0.006095186414404541,NULL,10000,False,,5d4eed9685f25fd1db3135319908a045a389300a008a67bc009cd178cabe2fc8
135M v3 T-scan,135M,2,1024,512,strict,INTERIOR,INTERIOR,0.07766526318825953,0.0323667074761506,above,1.4275570121493273,-0.06417684993088679,-0.06970710432293226,-0.05862545129176987,HURT,10000,,,,NOT_EVALUABLE,-0.0008455254827373082,-0.002794256282228069,0.0016052751539432641,NULL,10000,False,,29970559ff513ec19a9d5d0ab9f802bb6fba1898984877854c9b3485b89e320c
135M v3 T-scan,135M,5,2560,512,strict,INTERIOR,INTERIOR,0.04368465066797821,0.011213071025107161,above,2.4030500587817816,-0.16391975963878025,-0.18680398799214748,-0.14115474872243405,HURT,10000,,,,NOT_EVALUABLE,-0.005703201626559018,-0.00813737051047303,-0.003257584864962304,HURT,10000,False,,29970559ff513ec19a9d5d0ab9f802bb6fba1898984877854c9b3485b89e320c
135M v3 T-scan,135M,10,5120,512,strict,INTERIOR,INTERIOR,0.0322515846451114,0.0051226375201121254,above,3.694118308876463,-0.35367395141986213,-0.3747682634608025,-0.332758725436467,HURT,10000,,,,NOT_EVALUABLE,-0.012887310005741615,-0.013915036344132048,-0.011882350333703773,HURT,10000,False,,29970559ff513ec19a9d5d0ab9f802bb6fba1898984877854c9b3485b89e320c
135M v3 T-scan,135M,20,10240,512,strict,INTERIOR,INTERIOR,0.027577613352945337,0.0027297607172769058,above,5.37198826744031,-0.29750641419276436,-0.3023434207534659,-0.2909966031341935,HURT,10000,,,,NOT_EVALUABLE,-0.02796819715772436,-0.02899000086057768,-0.026988074673000018,HURT,10000,False,,29970559ff513ec19a9d5d0ab9f802bb6fba1898984877854c9b3485b89e320c
